spcode,rep,organ,biomass
AROL,45D-4,stem,0.004
AROL,30D-2,stem,0.006
AROL,45D-5,stem,0.035
AROL,45D-3,stem,0.005
AROL,30D-3,stem,0.007
AROL,30D-5,stem,0.001
AROL,30D-1,stem,0.003
AROL,45D-1,stem,0.025
AROL,30D-4,stem,0.01
AROL,45D-2,stem,0.021
AROL,45D-3,root,0.017
AROL,45D-5,root,0.081
AROL,45D-2,root,0.062
AROL,30D-2,root,0.012
AROL,45D-1,root,0.067
AROL,30D-1,root,0.022
AROL,30D-5,root,NA
AROL,45D-4,root,0.018
AROL,30D-3,root,0.011
AROL,30D-4,root,0.017
AROL,45D-4,leaf,0.007
AROL,30D-4,leaf,0.015
AROL,30D-3,leaf,0.015
AROL,45D-2,leaf,0.039
AROL,45D-1,leaf,0.04
AROL,45D-5,leaf,0.046
AROL,45D-3,leaf,0.014
AROL,30D-1,leaf,0.018
AROL,30D-2,leaf,0.018
AROL,30D-5,leaf,0.004
ARPU9,30D-1,stem,0.007
ARPU9,30D-3,stem,0.011
ARPU9,45D-1,stem,0.053
ARPU9,30D-4,stem,0.021
ARPU9,45D-2,stem,0.024
ARPU9,45D-3,stem,0.019
ARPU9,30D-2,stem,0.007
ARPU9,45D-4,stem,0.017
ARPU9,45D-5,stem,0.029
ARPU9,30D-5,stem,0.022
ARPU9,45D-4,root,0.047
ARPU9,30D-4,root,0.04
ARPU9,30D-2,root,0.024
ARPU9,30D-5,root,0.064
ARPU9,30D-3,root,0.041
ARPU9,45D-1,root,0.108
ARPU9,45D-3,root,0.073
ARPU9,45D-2,root,0.068
ARPU9,45D-5,root,0.148
ARPU9,30D-1,root,0.019
ARPU9,30D-5,leaf,0.049
ARPU9,45D-2,leaf,0.04
ARPU9,45D-4,leaf,0.038
ARPU9,30D-2,leaf,0.016
ARPU9,45D-5,leaf,0.08
ARPU9,45D-1,leaf,0.072
ARPU9,30D-3,leaf,0.028
ARPU9,30D-4,leaf,0.041
ARPU9,45D-3,leaf,0.033
ARPU9,30D-1,leaf,0.009
AVBA,30D-1,stem,0.041
AVBA,30D-5,stem,0.062
